text,label
Tôi yêu việc bộ phim tối qua.,tích cực
kết quả làm việc cũng được.,trung tính
bài đăng trên mạng xã hội thật sự khiến tôi mệt mỏi.,tiêu cực
Thật tuyệt vời khi việc sửa nhà.,tích cực
đồ ăn ở quán thật sự khiến tôi mệt mỏi.,tiêu cực
Tôi rất buồn vì việc học.,tiêu cực
"Hôm nay thật tuyệt, dịch vụ ở quán.",tích cực
Tôi nghĩ người bạn của tôi không có gì đặc biệt.,trung tính
Tôi cảm thấy thất vọng về buổi chiều.,tiêu cực
"Hôm nay thật kinh khủng, sức khỏe.",tiêu cực
việc sửa nhà cũng được.,trung tính
"Hôm nay thật kinh khủng, sức khỏe.",tiêu cực
bữa tiệc hôm qua cũng được.,trung tính
buổi họp làm tôi rất khó chịu.,tiêu cực
Thật tuyệt vời khi buổi họp.,tích cực
Tôi cảm thấy rất vui vì sức khỏe.,tích cực
Tôi rất hài lòng về bài nhạc.,tích cực
Tôi cảm thấy rất vui vì bài nhạc.,tích cực
"Hôm nay thật tuyệt, bài nhạc.",tích cực
Tôi cảm thấy tiêu cực về buổi họp.,tiêu cực
Thật hạnh phúc khi tài chính gần đây.,tích cực
Tôi cảm thấy tiêu cực về bộ phim tối qua.,tiêu cực
Tôi cảm thấy rất vui vì đồ ăn ở quán.,tích cực
bữa ăn trưa làm tôi rất khó chịu.,tiêu cực
cuộc hẹn thật sự khiến tôi mệt mỏi.,tiêu cực
Tôi nghĩ chuyện gia đình không có gì đặc biệt.,trung tính
Tôi yêu việc buổi họp.,tích cực
Tôi ghét việc buổi chiều.,tiêu cực
Tôi cảm thấy rất vui vì cuộc hẹn.,tích cực
bữa tiệc hôm qua là chuyện bình thường.,trung tính
Thật tuyệt vời khi chuyến du lịch.,tích cực
trò chơi mới thật sự khiến tôi mệt mỏi.,tiêu cực
bữa tiệc hôm qua cũng được.,trung tính
người bạn của tôi không ảnh hưởng gì đến tôi.,trung tính
Tôi ghét việc dịch vụ ở quán.,tiêu cực
bộ phim tối qua cũng được.,trung tính
"Hôm nay thật tuyệt, cuộc hẹn.",tích cực
bài nhạc cũng được.,trung tính
"Hôm nay thật kinh khủng, chuyến du lịch.",tiêu cực
Tôi cảm thấy rất vui vì bữa tiệc hôm qua.,tích cực
chuyến xe buýt làm tôi rất khó chịu.,tiêu cực
Tôi nghĩ việc sửa nhà không có gì đặc biệt.,trung tính
Tôi không có ý kiến về bài kiểm tra.,trung tính
Tôi rất buồn vì chuyến xe buýt.,tiêu cực
Thật tuyệt vời khi tin tức hôm nay.,tích cực
sản phẩm tôi mua thật sự khiến tôi mệt mỏi.,tiêu cực
Tôi cảm thấy rất vui vì việc mua sắm.,tích cực
Tôi cực kỳ thích việc học.,tích cực
Tôi rất hài lòng về người bạn của tôi.,tích cực
Tôi cảm thấy rất vui vì tài chính gần đây.,tích cực
bữa tiệc hôm qua làm tôi rất khó chịu.,tiêu cực
Tôi ghét việc chuyến du lịch.,tiêu cực
Tôi không có ý kiến về bữa ăn trưa.,trung tính
Thật hạnh phúc khi tin tức hôm nay.,tích cực
